,webUrl,website,review_Tags,address,description,name,numberOfReviews,tour_Offers,rankingString,rankingDenominator,rating,rawRanking,subtype/0,image
74,https://www.tripadvisor.com/Attraction_Review-g189400-d198709-Reviews-Ancient_Agora_of_Athens-Athens_Attica.html,http://odysseus.culture.gr/h/3/eh355.jsp?obj_id=2485,"ancient agora, large site, small museum, combo ticket, ancient times, walk around, audio guide, take your time, hephaestus, ruins, temple, acropolis, apostles, sites, plato, democracy, trees, statues, rebuilt, benches, citizens, greece, footsteps, philosophy, signage, reconstruction, hill, admission, greeks, paths","Adrianou 24, Athens 105 55 Greece","These ruins, located in the heart of modern Athens, were once the site of the marketplace in ancient times, a political, cultural and economic center of the ancient world.",Ancient Agora of Athens,4415,"Athens Highlights: a Mythological Tour, Acropolis of Athens, Ancient Agora and the Agora Museum Tour, Athens Full Day Private Tour, Athens Ticket Pass: Acropolis & 6 Sites with Audio Tours, Hop on Hop Off Classic tour of Athens",#14 of 576 things to do in Athens,576,4.5,4.108647823,Historic Sites,https://media-cdn.tripadvisor.com/media/photo-o/0b/ee/71/57/photo0jpg.jpg
75,https://www.tripadvisor.com/Attraction_Review-g189400-d524609-Reviews-Anafiotika-Athens_Attica.html,,"narrow streets, island village, greek islands, plaka district, visiting athens, homes, islanders, acropolis, cyclades, stroll, graffiti, architecture, tavernas, tourists, greece, hill, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 105 58 Greece,,Anafiotika,1311,"The History of Athens: Greek Mythology Private Tour, Athens at Night Small-Group Walking Tour with Dinner, Private Athens Walking Tour with a Personal Photographer, Private Full Day Athens Photography Tour, Athens Heart Private Walking Tour",#13 of 576 things to do in Athens,576,4.5,4.121820927,Neighborhoods,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/9b/ea/05/anafiotika-is-a-hidden.jpg
76,https://www.tripadvisor.com/Attraction_Review-g189400-d265865-Reviews-Monastiraki-Athens_Attica.html,,"flea market, metro station, souvenir shops, hadrian's library, ermou street, ancient agora, visit athens, pickpockets, acropolis, tourists, vendors, graffiti, stroll, greece, ruins, euros, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,Lively flea market neighborhood with lots of small tavernas serving good-value local snacks.,Monastiraki,5721,"Greek Food Walking Tour in Athens, Athens Greek Food Tour , Highlights & Hidden Gems With Locals: Best of Athens Private Tour, Athens Full Day Private Tour, Get Lost in Athens with an Insider",#36 of 576 things to do in Athens,576,4,3.775433302,Neighborhoods,https://media-cdn.tripadvisor.com/media/photo-o/0e/c5/12/6f/monastiraki-bei-nacht.jpg
77,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,http://www.panathenaicstadium.gr/Default.aspx?tabid=84&language=en-US,"olympic games, modern olympics, audio guide, olympic torches, olympic history, athens marathon, small museum, entry fee, worth a visit, ancient times, take pictures, track, tunnel, podium, marble, athletic, site, spectators, medal, euros, memorabilia, birthplace, acropolis, bc, structure, nan, nan, nan, nan, nan","Vassileos Konstantinou Avenue opposite the statue of Myron Discobolus, Athens 116 35 Greece","The Panathenaic Stadium dates back to the 4th century B.C. and was the site of the first modern Olympic games in 1896 and remains the starting point of the Olympic flame torch relay. Made entirely of white marble, it's an impressive sight that's earned it the nickname Kallimarmaro or ""beautiful marble"". There are even a couple of hours in the morning designated for morning jogs when you run in the footsteps of former Olympians. Take a stroll up to Ardittos Hill for a panoramic view of the stadium. 

Tickets are required to enter the stadium, which includes a free audio guide. 

– Tripadvisor",Panathenaic Stadium,6959,"Olympic Games Small-Group Workout and Race in Athens, Athens Sightseeing and Acropolis Half-Day Tour, Athens Half-Day Sightseeing Tour, Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, City Sightseeing Athens, Piraeus & Beach Riviera Hop-On Hop-Off Bus Tours",#20 of 576 things to do in Athens,576,4.5,3.992562056,Arenas & Stadiums,https://media-cdn.tripadvisor.com/media/photo-o/0c/d4/b3/6d/photo0jpg.jpg
78,https://www.tripadvisor.com/Attraction_Review-g189400-d198712-Reviews-Museum_of_Cycladic_Art-Athens_Attica.html,http://www.cycladic.gr/en,"top floor, greek islands, on display, cyclades, cypriot, figurines, greece, shop, material, archaeology, marble, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","4 Neofytou Douka str., Athens 106 74 Greece","A dynamic cultural institution in the centre of Athens, the Museum of Cycladic Art focuses on promoting the ancient cultures of the Aegean and Cyprus, with particular emphasis on Cycladic art of the third millennium BC. The Museum’s permanent collections include 3000 Cycladic, ancient Greek, and ancient Cypriot artefacts, witnesses to the cultures that flourished in the Aegean and the Eastern Mediterranean from the fourth millennium BC to approximately the sixth century AD. The Museum of Cycladic Art’s temporary exhibitions focus on archaeology and modern and contemporary art with the aim to familiarize the public with important twentieth and twenty-first century artists and to explore the relations between ancient cultures and modern art. Salvador Dali, Pablo Picasso, Thomas Struth, Louise Bourgeois, Sarah Lucas, Ugo Rondinone, Jannis Kounellis, Mario Merz, Ai Weiwei, and Cy Twombly are among the artists hosted.",Museum of Cycladic Art,1247,"Private Half Day Athens Best Museums Tour , Athens Museum Unlimited Pass, Athens Museum of Cycladic Art | AdmissionTicket , Athens Self-Guided Audio Tour, Athens: Self-Guided City Experience",#11 of 576 things to do in Athens,576,4.5,4.133561611,Art Museums,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/f8/54/a5/permanent-collections.jpg
79,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,http://www.theacropolismuseum.gr/,"top floor, glass floor, modern building, elgin marbles, third floor, on display, take pictures, ancient athens, greek history, visiting athens, artifacts, excavations, acropolis, video, architecture, greece, copies, context, euros, civilization, greeks, nan, nan, nan, nan, nan, nan, nan, nan, nan","Dionysiou Areopagitou 15, Athens 117 42 Greece","Modern, uptodate building on the foot of the Acropolis housing important ancient Greek statues and much more",Acropolis Museum,37813,"Acropolis Museum Skip-the-Line Ticket, Acropolis of Athens and Acropolis Museum Tour, City Sightseeing Athens, Piraeus & Beach Riviera Hop-On Hop-Off Bus Tours, Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, Athens Small Group Tour with Acropolis,Parthenon,Museum and Greek lunch",#2 of 576 things to do in Athens,576,4.5,4.942808151,History Museums,https://media-cdn.tripadvisor.com/media/photo-o/1d/b0/e6/7b/b-c-night-view-of-the.jpg
80,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,http://odysseus.culture.gr/h/3/eh355.jsp?obj_id=2384,"goddess athena, restoration work, awe inspiring, bucket list, worth the climb, bring water, wear comfortable shoes, avoid the crowds, visit athens, scaffolding, site, history, structure, temple, greece, hill, marble, ruins, symbol, beauty, marvel, tourists, wonders, greeks, centuries, thousands, civilization, gods, bc, euros","Acropolis Top of Dionyssiou Areopagitou, Athens 105 58 Greece","The majestic ruins of an ancient Greek building, known for its dignified white marble columns and perfect sense of proportion.",Parthenon,17531,"Athens Half-Day Sightseeing Tour, Acropolis of Athens and Acropolis Museum Tour, Athens Full Day Private Tour, Acropolis Ticket with Audio Tour & Athens City Audio Tour, City Sightseeing Athens, Piraeus & Beach Riviera Hop-On Hop-Off Bus Tours",#1 of 576 things to do in Athens,576,4.5,5,Architectural Buildings,https://media-cdn.tripadvisor.com/media/photo-o/08/f7/e4/d7/temple-of-athena.jpg
81,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,http://www.lycabettushill.com,"cable car, small church, funicular railway, highest point in athens, walk up, degree view, great view of athens, worth the climb, worth the effort, worth the trip, hill, taxi, chapel, teleferico, tunnel, acropolis, path, euros, peak, piraeus, perspective, george, greek, greece, nan, nan, nan, nan, nan, nan",Athens Greece,Walk or take the funicular tramway to the top of this hill for the best views of Athens,Mount Lycabettus,6315,"Mount Lycabettus Walking Tour in Athens, Athens By Night Private Tour, Athens city private tour, Athens Highlights Half Day Private Tour, Athens Full Day Private Tour",#17 of 576 things to do in Athens,576,4.5,4.046759129,Mountains,https://media-cdn.tripadvisor.com/media/photo-o/0f/ba/e7/2c/le-mount-lycabettus.jpg
82,https://www.tripadvisor.com/Attraction_Review-g189400-d523835-Reviews-Philopappos_Hill-Athens_Attica.html,http://www.aviewoncities.com/athens/philopappos.htm,"nice walk, olive trees, prison, monument, hike, paths, acropolis, muses, summit, viewpoint, tourists, ruins, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 105 55 Greece,This hill is a favorite for weekending Athenians who come here to picnic and admire the breathaking views.,Philopappos Hill,1460,"Athens Riverside: A Journey in Mythical Athens, Athens Scenic Electric Bike Tour, Spend an evening like a local in Athens, Athens Sunset Bike Tour on Electric or Regular Bike, Early Morning Athens Marketplace highlights walking tour with Pastry Shop Visit",#9 of 576 things to do in Athens,576,4.5,4.155694485,Parks,https://media-cdn.tripadvisor.com/media/photo-m/1280/1e/b9/17/71/acropolis-view-from-filopappou.jpg
83,https://www.tripadvisor.com/Attraction_Review-g189400-d498309-Reviews-War_Museum-Athens_Attica.html,http://warmuseum.gr/,"ancient times, chronological order, few hours, weapons, greek, sword, conflict, history, greece, collection, ww1, information, enthusiasts, documentary, centuries, era, perspective, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Vasilisis Sofias Avenue & Rizari 2 The entrance is located at Rizari 2., Athens 106 75 Greece","In 1964, the Hellenic State decided to found the War Museum, wishing to honor all those who fought for our country and its freedom. The design of the museum was undertaken by a team of distinguished scientists, headed by Professor Thoukidides Valentis of the National Technical university of Athens (N.T.U.A). On July 18, 1975, the President of the Hellenic Republic H.E. Constantine Tsatsos and the Minister of National Defense Evangelos Averof-Tositsas inaugurated the Museum. Its various activities include the publication of books, the establishment and maintenance of monuments and memorials and the aid to services and agencies all over Greece. The Museum’s exhibition areas are distributed over four levels (floors) and present images of Greek history from antiquity to the present.",War Museum,514,"Skip the Line: War Museum of Athens Entrance Ticket, Athens: Explore the Secrets of Wars, Athens Museum Unlimited Pass, nan, nan",#31 of 576 things to do in Athens,576,4.5,3.833105803,Conference & Convention Centers,https://media-cdn.tripadvisor.com/media/photo-o/1c/61/25/71/caption.jpg
84,https://www.tripadvisor.com/Attraction_Review-g189400-d12064411-Reviews-Changing_of_the_Guard_Ceremony-Athens_Attica.html,,"every hour, unknown soldier, syntagma square, parliament building, front row, takes place, arlington cemetery, viewing spot, hellenic parliament, prime viewing, marching band, worth a stop, cultural experience, traditional uniforms, parade, tomb, movement, pomp, ceremonies, tassels, median, choreography, shoes, clogs, military, outfit, ritual, pageant, spectators, ministry","Syntagma Square Tomb of the Unknown Soldier, Athens 10557 Greece",,Changing of the Guard Ceremony,240,"Athens 6 hours private tour: See the best of Athens , Private Half Day Athens Tour, Athens Tour with Electric Bike, Sunset and Moonlight Private Night Tour of Athens, Full Day Private Shore Excursion Ancient Corinth and Athens Must See ",#16 of 576 things to do in Athens,576,4.5,4.07045126,Points of Interest & Landmarks,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/5c/8a/14/asker-nobet-degisim-toreni.jpg
85,https://www.tripadvisor.com/Attraction_Review-g189400-d241083-Reviews-Theater_of_Dionysus-Athens_Attica.html,http://www.welcome-greece.gr/,"acropolis site, theatre, odeon, ruins, spectators, hill, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Mitseon 25, Athens 105 58 Greece",,Theater of Dionysus,1097,"Acropolis & Parthenon Entrance Ticket w/English Self Guided Tours, Athens Highlights Half Day Private Tour, Acropolis, Parthenon and Acropolis museum walking tour , Athens Half-Day Sightseeing Tour, Athens Tour: Acropolis, Acropolis museum, and Greek lunch",#30 of 576 things to do in Athens,576,4.5,3.847775698,Ancient Ruins,https://media-cdn.tripadvisor.com/media/photo-o/0f/ba/a0/cf/le-theatre-antique.jpg
86,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,http://www.visitplaka.com/,"narrow streets, souvenir shops, great shopping, walk around, flea market, visiting athens, acropolis museum, tavernas, stroll, tourists, greek, jewelry, vendors, pickpockets, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 10556 Greece,"Wander through the narrow cobblestone alleys of this neighborhood at the foothills of the Acropolis. You'll find quaint shops selling jewelry, clothes, ceramics, and souvenirs, plus sidewalk restaurants and family-run taverns serving authentic Greek food. Being one of the oldest neighborhoods in Athens, you’ll be able to see Roman columns, medieval churches, and ancient landmarks like the Choragic Monument of Lysicrates. The area gets busy, especially during summer, so visit in the early morning or late afternoon for fewer crowds.

Explore Plaka and the nearby landmarks on a guided tour of Athens—it will typically include the Acropolis, Parthenon, and other ancient temples and museums. 

– Tripadvisor",Plaka,16522,"Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, Athens Full Day Private Tour, Acropolis monuments, Parthenon and Plaka, Monastiraki walking tour , Athens at Night Small-Group Walking Tour with Dinner, Athens Tour: Acropolis, Acropolis museum, and Greek lunch",#4 of 576 things to do in Athens,576,4.5,4.820043564,Neighborhoods,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/54/eb/04/20190129-115247-largejpg.jpg
88,https://www.tripadvisor.com/Attraction_Review-g189400-d2665638-Reviews-Hellenic_Motor_Museum-Athens_Attica.html,http://www.hellenicmotormuseum.gr/en/,"private collection, classic cars, car nut, spiral walkway, cool cars, on display, well worth a visit, few hours, ticket price, modern building, entrance fee, ancient history, couple of hours, simulator, automobile, enthusiasts, lamborghini, facts, euro, stone, greece, marble, nan, nan, nan, nan, nan, nan, nan, nan","33 - 35 Ioulianou, Athens 104 33 Greece","Hellenic Motor Museum occupies 4.000 sqm. in a unique building in terms of architecture and design. Its exhibitions are dedicated to the evolution of the car and display more than 110 cars from the 19th and the 20th century. It is located in the heart of Athens, just a few minutes away from the National Archaeological Museum.",Hellenic Motor Museum,344,"Athens Museum Unlimited Pass, nan, nan, nan, nan",#12 of 576 things to do in Athens,576,4.5,4.126906872,Specialty Museums,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/e6/45/e2/caption.jpg
89,https://www.tripadvisor.com/Attraction_Review-g189400-d198754-Reviews-Stoa_of_Attalos-Athens_Attica.html,http://odysseus.culture.gr/h/2/eh251.jsp?obj_id=10303,"ancient agora, small museum, classical period, impressive building, on display, reconstruction, statues, site, temple, bc, portico, citizens, admission, euros, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Adrianou St. 24, Athens Greece",These ancient ruins were restored in the early 20th century and now house a collection of ancient Greek sculpture.,Stoa of Attalos,451,"Athens Ticket Pass: Acropolis & 6 Sites with Audio Tours, Athens City and Sea bike tour, Athens at Night Small-Group Walking Tour with Dinner, Private Walking Tour: Ancient Agora, Plaka and Monastiraki monuments, Private: Walking Tour Ancient Agora-Athens Central Market & Food Tour",#24 of 576 things to do in Athens,576,4.5,3.958003044,Historic Sites,https://media-cdn.tripadvisor.com/media/photo-o/06/0a/fc/d9/stoa-of-attalos.jpg
90,https://www.tripadvisor.com/Attraction_Review-g189400-d1064133-Reviews-Temple_of_Hephaestus-Athens_Attica.html,http://odysseus.culture.gr/h/2/eh251.jsp?obj_id=6621,"ancient agora of athens, ancient greek, intact, site, acropolis, structure, ruins, greece, hill, euros, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","24 Adrianou St. Ancient Agora of Athens, Athens 105 55 Greece","This ancient Greek temple, located on the Acropolis and dedicated to Hephaistos, god of the forge, is one of the few temples to be almost entirely preserved.",Temple of Hephaestus,4600,"Athens: Self-Guided City Experience, Athens Highlights: a Mythological Tour, Athens Full Day Private Tour, Electric Bike Tour of Athens by Night, Athens City and Sea bike tour",#8 of 576 things to do in Athens,576,4.5,4.235162258,Sacred & Religious Sites,https://media-cdn.tripadvisor.com/media/photo-o/06/0f/83/54/templo-de-hefesto.jpg
92,https://www.tripadvisor.com/Attraction_Review-g189400-d1064131-Reviews-Areopagus-Athens_Attica.html,http://www.welcome-greece.gr/athens-acropolis/,"apostle paul, mars hill, metal staircase, slippery rocks, top of the rock, famous speech, new testament, watch your step, wear good shoes, worth the effort, great view of the acropolis, acropolis area, ancient times, preached, christians, bible, site, palos, worship, grip, stone, centuries, gods, footsteps, path, marble, monument, tourists, nan, nan","Acropolis, Athens 105 58 Greece",,Areopagus,724,"Athens Riverside: A Journey in Mythical Athens, Highlights & Hidden Gems With Locals: Best of Athens Private Tour, Saint Paul Steps Full Day Private Tour, Semi-private Historical & Contemporary Segway Tour in Athens, Private Athens Electric Bike Tour",#19 of 576 things to do in Athens,576,4.5,4.010737896,Geologic Formations,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/cb/70/9e/photo1jpg.jpg
