,webUrl,website,features,review_Tags,cuisines,meal_Types,dishes,address,description,email,name,menuWebUrl,numberOfReviews,priceLevel,priceRange,rankingString,rankingDenominator,rating,rawRanking,image,owner_image_url
120,https://www.tripadvisor.com/Restaurant_Review-g189400-d13833848-Reviews-Zafran_Indian_Kitchen-Athens_Attica.html,http://zafran.gr,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Free off-street parking, Wine and Beer, Digital Payments, Family style, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","coconut chicken, nan, bombay aloo, indian food, great indian, tha food, delicious dishes, excellent food, nice service, greece, vegetarian, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Indian, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan, nan, nan, nan","Lunch, Dinner, Late Night, Drinks, nan, nan","Salad, Tikka Masala, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Persefonis 25 Keramikos, Athens 11854 Greece",We never compromise on Quality and Our customers love of our taste & service. Certainly that makes our Dishes – One of the best Indian Restaurant in Town.,info@zafran.gr,Zafran Indian Kitchen,http://zafran.gr/menu/,287,$$ - $$$,$4 - $14,"#38 of 3,608 places to eat in Athens",2952.0,5.0,4.73485803604126,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/81/54/b1/busy-evening-at-zafran.jpg,"nan, nan, nan"
121,https://www.tripadvisor.com/Restaurant_Review-g189400-d14771398-Reviews-BiteBox-Athens_Attica.html,http://www.facebook.com/BiteBox.Koykaki,"Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Free Wifi, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","brunch, potatoes, great coffee, friendly environment, delicious food, koukaki, savory, salty, airbnb, neighborhood, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Cafe, Mediterranean, European, Contemporary, Gastropub, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan","Breakfast, Lunch, Dinner, Brunch, Drinks, nan","Pasta, Omelette, Pesto, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Veikou 84, Athens 11741 Greece","It's always time for BiteBox! Join us n’ discover a unique, homemade product #Poffie - sweet or savoury the choice is yours. Try also our rewarded speciality coffee!",bitebox.koykaki@gmail.com,BiteBox,http://bit.ly/MENU_BITEBOX,225,$,$3 - $7,"#32 of 3,608 places to eat in Athens",2952.0,5.0,4.753460884094238,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/62/13/14/breakfast-brunch-sweets.jpg,"nan, nan, nan"
122,https://www.tripadvisor.com/Restaurant_Review-g189400-d12325911-Reviews-Kiouzin-Athens_Attica.html,http://kiouzin.com/,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","bread, cheese balls, mousse, filo, salmon, salad, pork, potatoes, greek cuisine, en papillote, home made, lovely restaurant, side street, quality of food, twist, starters, greece, desert, homemade, zucchini, ouzo, neighborhood, nan, nan, nan, nan, nan, nan, nan, nan","Greek, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan, nan","Lunch, Dinner, Drinks, nan, nan, nan","Pasta, Pork Tenderloin, Salad, Risotto, Meatballs, Salmon, Rice pudding, Lamb, Pesto, Pork, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Likavittou 16 Kolonaki, few meters before the church St. Dionysus, Athens 10673 Greece","Greek cuisine with a twist! Kiouzin is a Greek restaurant in the center of Athens. In a friendly and warm environment in Kolonaki, with a vintage feel to it, we promise that you will be pleasantly surprised by our traditional Greek recipes with a twist! We use Greek PDO products, fresh ingredients and superfoods to cook special Greek recipes, enhanced with fresh notes. The result is tasty compositions that will stay with you forever and change your expectations regarding “home-made” food!",info@kiouzin.com,Kiouzin,https://kiouzin.com/wp-content/uploads/2021/11/kiouzin_menu_21-23.5-x-32-cm-1.pdf,306,$$ - $$$,$20 - $30,"#136 of 3,608 places to eat in Athens",2952.0,4.5,4.467211246490479,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/04/22/4f/kiouzin-interior-vintage.jpg,"https://media-cdn.tripadvisor.com/media/photo-s/12/72/fd/50/our-famous-belluga-salad.jpg, https://media-cdn.tripadvisor.com/media/photo-s/12/72/fd/48/cozy-friendly-and-vintage.jpg, https://media-cdn.tripadvisor.com/media/photo-s/12/72/fd/3c/a-solex-hanging-from.jpg"
123,https://www.tripadvisor.com/Restaurant_Review-g189421-d23545124-Reviews-Jot_Indian_restaurant-Rethymnon_Rethymnon_Prefecture_Crete.html,https://www.facebook.com/JOT-103752438385611/,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","butter chicken, curries, nan, best indian, authentic curry, love indian food, enjoyed our meal, nice dinner, amazing food, nice service, crete, kindness, seafront, cuisine, vegetarian, euros, holiday, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Indian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan, nan, nan","Dinner, nan, nan, nan, nan, nan","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","__________ _________ 21 Seafront, Rethymnon, Crete 74100 Greece",,indianrestaurantjot@gmail.com,Jot Indian restaurant,,127,$$ - $$$,,#15 of 506 places to eat in Rethymnon,440.0,5.0,4.7646803855896,https://media-cdn.tripadvisor.com/media/photo-o/2a/49/9c/d5/caption.jpg,"nan, nan, nan"
124,https://www.tripadvisor.com/Restaurant_Review-g189400-d26323801-Reviews-Thinalos_Seafood_Restaurant-Athens_Attica.html,https://thin-alos-seafood-restaurant.business.site/?utm_source=gmb&utm_medium=referral,"Reservations, Seating, Street Parking, Serves Alcohol, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Seafood, Greek, nan, nan, nan, nan, nan, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Salad, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Chiou 7, Athens 104 38 Greece","Welcome to Thinalos Restaurant! Discover the world of wonderful and exquisite seafood dishes we offer, made with fresh ingredients.",,Thinalos Seafood Restaurant,https://thin-alos-seafood-restaurant.business.site/?utm_source=gmb&utm_medium=referral,45,$$ - $$$,,"#196 of 3,608 places to eat in Athens",2952.0,5.0,4.2872185707092285,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/c6/a3/25/fresh-kalamari.jpg,"nan, nan, nan"
125,https://www.tripadvisor.com/Restaurant_Review-g189400-d6692592-Reviews-Atitamos-Athens_Attica.html,http://www.facebook.com/atitamos/,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","salad, baklava, lamb, meatballs, octopus, kebab, sardines, tzatziki, potatoes, delicious food, traditional greek food, specials, honey, greece, desert, euros, museum, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Mediterranean, European, Greek, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Pasta, Halloumi, Burger, Moussaka, Shrimp, Salad, Meatballs, Eggplant, Octopus, Beef, Lamb, Pesto, Fish, Pork, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Solonos & Kapodistrou 2, Athens 10677 Greece","Atitamos restaurant,in the center of Athens, maintains all the favorite Greek traditional dishes which have been enriched with more interesting tastes.All the dishes are prepared exclusively with fresh and seasonal ingredients.Popular specialties include meat dishes,seafood, fresh fish, a wide variety of mouthwatering appetizers and delicious desserts.The reasonable prices are a pleasant surprise. Open every day 12:00",elenib21@hotmail.com,Atitamos,,2731,$,$6 - $15,"#57 of 3,608 places to eat in Athens",2952.0,4.5,4.679769515991211,https://media-cdn.tripadvisor.com/media/photo-o/06/6b/ca/50/atitamos.jpg,"nan, nan, nan"
126,https://www.tripadvisor.com/Restaurant_Review-g189400-d17640144-Reviews-Fish_Market-Athens_Attica.html,http://fish-market.gr,"Delivery, Takeout, Reservations, Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","fresh fish, seafood, tuna tartare, soup, fish counter, catch of the day, greek white wine, cooked to perfection, typical greek, excellent restaurant, visiting athens, amazing food, dishes, croaker, megaron, heart, metro, twist, presentation, appetizers, serving, tourist, nan, nan, nan, nan, nan, nan, nan, nan","Seafood, Healthy, Vegetarian Friendly, Vegan Options, nan, nan, nan, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Pasta, Ceviche, Oyster, Salad, Salmon, Tuna, Octopus, Pesto, Fish, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Doryleou 7 Mavili Square, Athens 11521 Greece",,info@fish-market.gr,Fish Market,https://fish-market.gr/menu/,193,$$ - $$$,$6 - $35,"#58 of 3,608 places to eat in Athens",2952.0,5.0,4.672649383544922,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/0f/c3/78/fish-market.jpg,"nan, nan, nan"
129,https://www.tripadvisor.com/Restaurant_Review-g189400-d20238443-Reviews-Louis_Bistrot-Athens_Attica.html,https://www.facebook.com/louisbistrot/,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","brunch, cauliflower steak, prosciutto, eggs benedict, pizza, sea bass, orzo, cheesecake, shrimp, greek salad, our waiter, charming bistro, amazing food and service, fantastic meal, amazing restaurant, highly recommend this restaurant, fast service, place to eat, visiting athens, last night, great atmosphere, nikos, athena, waiters, heart, greece, vegetarian, nan, nan, nan","Mediterranean, European, Healthy, Wine Bar, Vegetarian Friendly, Vegan Options, nan, nan, nan, nan, nan","Breakfast, Lunch, Dinner, Brunch, Drinks, nan","Salad, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Kalamiotou & Athinaidos 3, Athens 10563 Greece","Louis Bistrot, is an authentic bistrot in the heart of Athens. The menu is prepared with the finest ingredients & the inspiration of the chef. Come enjoy a day at Louis Bistrtot with our superb food & wine!",louisbistrot@gmail.com,Louis Bistrot,http://louisbistrot.business.site,187,$$ - $$$,$3 - $12,"#59 of 3,608 places to eat in Athens",2952.0,5.0,4.666894912719727,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/11/66/5e/come-enjoy-a-day-at-louis.jpg,"nan, nan, nan"
135,https://www.tripadvisor.com/Restaurant_Review-g189400-d24024986-Reviews-Mira_Me_Athens-Athens_Attica.html,http://mirameathens.com/the-restaurants/,"Reservations, Seating, Accepts Credit Cards, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","lemon dessert, rooftop restaurant, great food, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Mediterranean, Greek, nan, nan, nan, nan, nan, nan, nan, nan, nan","Dinner, Breakfast, Brunch, Late Night, Drinks, nan","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Ermou 118, Athens 10553 Greece","Mira Me rooftop is one of the most beautiful terraces in Athens city. In addition, it is open and has a within-reach view of the Acropolis, the Agora and other monuments, has also the most iconic images of Athens as it really is. The menu focuses on Mediterranean cuisine combined with Asian influences, wines from selected Greek producers complement the list, while creative cocktails are served at the bar.",info@mirameathens.com,Mira Me Athens,https://mirameathens.com/wp-content/uploads/2021/07/20210721-Μirame-menu.pdf,24,$$$$,,"#612 of 3,608 places to eat in Athens",2952.0,5.0,3.562299966812134,https://media-cdn.tripadvisor.com/media/photo-o/23/52/af/5a/nice-rooftop-view-of.jpg,"nan, nan, nan"
137,https://www.tripadvisor.com/Restaurant_Review-g189400-d13505920-Reviews-Smak-Athens_Attica.html,http://www.smakathens.gr,"Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","pizza, tartufo, minced meat, truffle, veal, salad, fresh dough, fast food, options for vegetarians, quick bite, take away, great taste, peinirli, peynirli, centre, eats, yum, euro, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Mediterranean, Greek, Pizza, Fast Food, Street Food, Vegetarian Friendly, nan, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Souvlaki, Salad, Tartufo, Cakes, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Romvis 21, Athens 10560 Greece","“Smak” in Swedish means “taste”. Smak. is a street food restaurant situated in the heart of Athens that stood out from the very beginning for its unique, fresh, long-maturation dough, as well as for its live-cooking. We offer you pizza and the traditional peinirli, all being baked on hot baking stone in merely 2 minutes. Our menu consists of savoury and sweet flavours that are made of the finest ingredients. You can enjoy your meal here or take-away.",smakathens@gmail.com,Smak,https://smakathens.wixsite.com/smakathens/menu,394,$,$3 - $4,"#54 of 3,608 places to eat in Athens",2952.0,5.0,4.685199737548828,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/24/66/e4/smak.jpg,"nan, nan, nan"
138,https://www.tripadvisor.com/Restaurant_Review-g189400-d17624206-Reviews-To_Kyklamino-Athens_Attica.html,http://www.facebook.com/pages/%CE%9A%CF%85%CE%BA%CE%BB%CE%B1%CE%BC%CE%B9%CE%BD%CE%BF/471056200107224,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Family style, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","moussaka, bread, octopus salad, halwa, potatoes, rice, flea market, traditional family restaurant, free dessert at the end, set menu, delicious food, real greek, home made, red wine, highly recommend this restaurant, central athens, tourist trap, dishes, nicholas, euros, square, monastiraki, desert, fava, homemade, tavern, lemon, greece, heart, nan","Greek, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Moussaka, Salad, Calamari, Meatballs, Eggplant, Octopus, Lamb, Fish, Pork, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Pl. Avissinias 3, Athens 105 55 Greece",,nikosmantis40@gmail.com,To Kyklamino,,710,$,$1 - $9,"#56 of 3,608 places to eat in Athens",2952.0,4.5,4.681217193603516,https://media-cdn.tripadvisor.com/media/photo-o/1a/99/39/09/img-20200112-143638-largejpg.jpg,"nan, nan, nan"
139,https://www.tripadvisor.com/Restaurant_Review-g189400-d14183897-Reviews-Pantheon-Athens_Attica.html,https://www.facebook.com/PantheonHouse/,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","brunch, moussaka, mixed grill, caesar salad, spaghetti, baklava, yogurt, pork, fries, bread, cretan pie, surprise dessert, lovely square, acropolis tour, busy area, greek coffee, excellent coffee, service was great, traditional dishes, tasty food, main dish, ate here, welcomming, greece, heart, desert, menus, nan, nan, nan","International, Mediterranean, Greek, European, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan","Breakfast, Lunch, Dinner, Brunch, Drinks, nan","Gyros, Moussaka, Salad, Meatballs, Salmon, Pork, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Aggelou Geronta 9, Athens 10558 Greece","In the heart of Plaka in Athens, Pantheon is a new age, contemporary, all day restaurant-cafe-bistro, offering a wide variety of food and drink covering all hours of a day! Using our longstanding experience in the field of food, we offer high quality products and service in addition to our polite staff and warm environment!",and.axiotis@gmail.com,Pantheon,https://pantheonplaka.com/?page_id=312,317,$$ - $$$,$7 - $13,"#55 of 3,608 places to eat in Athens",2952.0,5.0,4.685025215148926,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/ef/a5/14/pantheon-outside-sitting.jpg,"nan, nan, nan"
188,https://www.tripadvisor.com/Restaurant_Review-g189400-d14009000-Reviews-Greek_Stories-Athens_Attica.html,http://www.greekstories.gr,"Takeout, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Wine and Beer, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","greek salad, moussaka, grilled squid, baklava, seafood, fries, acropolis museum, gluten free, amazing food, vegan options, the wait staff, friendly atmosphere, great restaurant, waiters, ouzo, greece, george, pita, tourists, euros, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Greek, Mediterranean, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Pasta, Falafel, Gyros, Moussaka, Shrimp, Souvlaki, Salad, Calamari, Eggplant, Octopus, Beef, Lamb, Pesto, Pork, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Makrygianni 19-21, Athens 11742 Greece","we are a traditional Greek restaurant. Since 2004 we are serving to our guests the best of Greek cuisine with high quality homemade food.
If you've been to our restaurant, you've seen and and tasted what keeps our customers coming back for more. Perfect materials and freshly baked food, delicious skewers, moussaka and fish make us hard to resist! Stop in today and check us our! Our restaurant offers a unique Greek atmosphere in which you can linger in our dining area with our assortment of lunch and dinner items.
Since last year we are gluten free dedicated. 

#greekstoriesrestaurant #greekstoriesathens #HappyEaster #acropolis #glutenfree #athens #koukaki #greekfood #greekrestaurant #gastronomy #instagood #picoftheday",info@greekstories.gr,Greek Stories,http://greekstories.gr/menu,816,$$ - $$$,$6 - $17,"#48 of 3,608 places to eat in Athens",2952.0,4.5,4.704534530639648,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/92/8f/17/grilled-octopus-with.jpg,"nan, nan, nan"
190,https://www.tripadvisor.com/Restaurant_Review-g3178759-d15098572-Reviews-Sakis_Kebab-Nea_Smirni_Attica.html,http://www.facebook.com/SAKISKEBAB/,"Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Free off-street parking, Wine and Beer, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","kebab, greek salad, family owned restaurant, delicious food, place to eat, last night, marriott, constantinople, nicholas, greece, athens, cuisine, songs, warmth, music, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Greek, Middle Eastern, Mediterranean, Barbecue, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Salad, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Pentelis 47-49, Nea Smirni 17122 Greece","Taste our famous kebab,the ""soujouki""(Spicy kebab) and the ""giaourtlou kebab"" which only we at SAKIS KEBAB know exactly how to prepare, since 1920. Our handmade recipes, our expertise & the exceptional quality of the ingredients, which we carefully select from Greek territories for you, as well as the highly trained personel and our love & passion for food, guarantee a unique taste experience.",kebapsakis1920@gmail.com,Sakis Kebab,http://kempap.gr/κατάλογος/,171,$$ - $$$,$10 - $20,#1 of 103 places to eat in Nea Smirni,80.0,5.0,4.762992858886719,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/84/1a/44/our-green-yard.jpg,"nan, nan, nan"
191,https://www.tripadvisor.com/Restaurant_Review-g189400-d7134770-Reviews-Stoa_Allios-Athens_Attica.html,http://istoa.business.site/,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Credit Cards, Table Service, Free Wifi, Dog Friendly, Family style, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","mussels, seafood, sea bass, greek salad, fresh fish, sardines, red mullet, tasty food, at reasonable prices, super tasty, nice service, great restaurant, our waiter, ate here, gavros, ouzo, dishes, stefano, lemon, euros, greeks, heart, tourists, neighborhood, courses, tavern, nan, nan, nan, nan","Seafood, Mediterranean, European, Grill, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Salad, Calamari, Mussels, Octopus, Bass, Fish, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Gamveta 14 Kaniggos, Athens 10677 Greece","We are a family restaurant since 1995! Our kindness, loyalty and unique quality made us still be over here until now!! We have plenty of dishes ,greek food and mainly you will find here anything about fish!! Big Portions , good prices and special quality!! We waiting you to feel and eat like you are at your home!!!",istoaouzeri@outlook.com.gr,Stoa Allios,,238,$,$14 - $18,"#77 of 3,608 places to eat in Athens",2952.0,4.5,4.6144328117370605,https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/5c/d8/55/caption.jpg,"nan, nan, nan"
192,https://www.tripadvisor.com/Restaurant_Review-g3178759-d3709119-Reviews-Amigos-Nea_Smirni_Attica.html,http://www.amigos.gr,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","guacamole, burrito, churros, soft tacos, salad, chicken, mexican plate, mexican food, a couple of minutes, manager dimitris, great atmosphere, nice evening, excellent food, nice place, amazing service, fast service, margaritas, music, dishes, spicy, athens, greece, stuff, vibes, environment, crew, stress, manners, hospitality, nan","Mexican, Latin, Central American, Vegetarian Friendly, Vegan Options, nan, nan, nan, nan, nan, nan","Lunch, Dinner, Late Night, nan, nan, nan","Burrito, Tortillas, Salad, Tacos, Chili, Fajitas, Nachos, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","70 Megalou Alexandrou, Nea Smirni 171 22 Greece",,info@amigos.gr,Amigos,http://www.amigos.gr#main-menu,783,$$ - $$$,,#2 of 103 places to eat in Nea Smirni,80.0,4.0,4.595072746276856,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/b8/a1/54/fajitas.jpg,"nan, nan, nan"
193,https://www.tripadvisor.com/Restaurant_Review-g189400-d2315343-Reviews-Maiandros-Athens_Attica.html,http://www.maiandros.eu,"Takeout, Outdoor Seating, Seating, Television, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Reservations, Wheelchair Accessible, Full Bar, Accepts Credit Cards, Table Service, Dog Friendly, Family style, Non-smoking restaurants, nan, nan, nan, nan, nan, nan, nan, nan, nan","moussaka, meat platter, greek salad, bread, potatoes, eggplant, baklava, seafood, rooftop terrace, food was amazing, monastiraki square, great restaurant, mikel, acropolis, waiters, greece, heart, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Greek, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan, nan, nan, nan","Drinks, Breakfast, Lunch, Dinner, Brunch, nan","Moussaka, Pasta, Crab, Gyros, Souvlaki, Salad, Calamari, Eggplant, Octopus, Beef, Lamb, Pesto, Fish, Pork, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Adrianou 47 Monastiraki, Athens 10555 Greece","Maiandros is a traditional Greek restaurant, located in the historical center of Athens, just a few steps from the Monastiraki metro station and Hadrian's library. Our place is cozy and friendly in harmony with traditional mediterranean cuisine brings back memories, tastes and smells from another era . We are waiting for you any time of day to offer you new experiences enjoying a plethora of traditional tastes and snacks in the heart of Athens.For reservations please send us email.",info@maiandros.eu,Maiandros,https://maiandros-restaurant.business.site/,4138,$$ - $$$,$7 - $17,"#75 of 3,608 places to eat in Athens",2952.0,4.5,4.618611812591553,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/13/af/c7/front-of-the-restaurant.jpg,"nan, nan, nan"
194,https://www.tripadvisor.com/Restaurant_Review-g189400-d10374870-Reviews-Royal_Indian_Chef-Athens_Attica.html,http://www.royalindianchef.gr/,"Delivery, Takeout, Reservations, Outdoor Seating, Buffet, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan","malai kofta, rice, lamb, best indian, amazing food, visited this restaurant, nice service, greece, ambience, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Indian, Vegan Options, Vegetarian Friendly, Halal, Gluten Free Options, nan, nan, nan, nan, nan, nan","Lunch, Dinner, Brunch, Drinks, nan, nan","Tandoori Chicken, Salad, Chili, Curry, Tikka Masala, Lamb, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Andrea Syggrou 55, Athens 117 45 Greece",Royal Indian Chef Restaurant is the best destination for delicious Indian food.,indianchefgr@gmail.com,Royal Indian Chef,https://royalindianchef.gr/en/menu/,620,$$ - $$$,$5 - $12,"#74 of 3,608 places to eat in Athens",2952.0,4.5,4.622033596038818,https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/9d/a3/d7/inside.jpg,"nan, nan, nan"
