,webUrl,website,amenities,roomTips,review_Tags,address,description,email,name,numberOfReviews,priceLevel,priceRange,rankingString,rankingDenominator,rating,rawRanking,image
385,https://www.tripadvisor.com/Hotel_Review-g189400-d13826069-Reviews-Athens_Mansion_Luxury_Suites-Athens_Attica.html,,"Internet, Suites, Free Internet, Restaurant, Bar/Lounge, Wifi, Free Wifi, Breakfast included, Non-smoking rooms, Laundry Service, Multilingual Staff, Rooftop Bar, Rooftop Terrace, Housekeeping, Baggage Storage, 24-Hour Check-in, English, Greek, Special Diet Menus, Kids Activities, Airport transportation, Dry Cleaning, Air conditioning, Refrigerator in room, Minibar, Non-smoking hotel, Breakfast Buffet, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Bring earplugs, As mentioned before the street noise can be loud but you are in the middle of Athens city .Take earplugs they also provide you with some., Don't choose a room here, We have seen some comments saying to ask for 3rd level rooms because they have views. It is not true, only suites have it, which is normal, Room 303 is a lovely corner suite","church bells, rooftop terrace, corner suite, wonderful stay, located within walking distance, perfect location, booked this hotel, breakfast is served, air con, every morning, our honeymoon, christos, view, acropolis, street, monastiraki, earplugs, noise, balconies, isolation, luggage, pros, cons, nan, nan, nan, nan, nan, nan, nan","Evripidou 11, Athens 10560 Greece","Finding an ideal romantic hotel in Athens does not have to be difficult. Welcome to Athens Mansion Luxury Suites, a nice option for travelers like you.
Given the close proximity of popular landmarks, such as Monastiraki (0.3 mi) and Temple of Hephaestus (0.4 mi), guests of Athens Mansion Luxury Suites can easily experience some of Athens' most well known attractions.
You’ll enjoy relaxing rooms that offer air conditioning, a minibar, and a refrigerator, and you can stay connected during your stay as Athens Mansion Luxury Suites offers guests free wifi.
Plus, Athens Mansion Luxury Suites offers free breakfast, providing a pleasant respite from your busy day.
Athens has plenty of steakhouses. So when you’re here, be sure to check out popular spots like To Paradosiako, Meatropoleos 3, and Basegrill Athens, which are serving up some great dishes.
If you are interested in exploring Athens, check out a garden, such as National Garden.
Athens Mansion Luxury Suites looks forward to welcoming you on your visit to Athens.
",,Athens Mansion Luxury Suites,153,$$,$99 - $161,#67 of 396 hotels in Athens,396.0,4.5,4.135156154632568,https://media-cdn.tripadvisor.com/media/photo-o/12/55/70/91/getlstd-property-photo.jpg
387,https://www.tripadvisor.com/Hotel_Review-g189400-d646024-Reviews-Hotel_Katerina-Athens_Attica.html,http://www.hotel-katerina.com,"Internet, Free Internet, Bar/Lounge, Wifi, Free Wifi, Non-smoking rooms, Concierge, Air conditioning, Family Rooms, Multilingual Staff, Refrigerator in room, Minibar, Non-smoking hotel, Flatscreen TV, Breakfast Buffet, Private Balcony, Housekeeping, Baggage Storage, Bath / Shower, Blackout Curtains, 24-Hour Check-in, English, 24-Hour Front Desk, Greek, Safe, Breakfast Available, Parking, Bottled Water, Breakfast in the Room, Car Hire, Express Check-in / Check-out, Children's Television Networks, Clothes Rack, Coffee Shop, Desk, Electric Kettle, Complimentary Toiletries, Free Wifi in the Business Center, Hair Dryer, Highchairs Available, Parking Garage, Private Bathrooms, Paid Private Parking Nearby, Radio, Romanian, Russian, Secured Parking, Shared Lounge / TV Area, Shoeshine, Soundproof Rooms, Street Parking, Taxi Service, Telephone, Tile / Marble Floor, Ukrainian, Wake Up Service / Alarm Clock, Wardrobe / Closet, Photo Copier / Fax In Business Center, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Ask for a room at a higher floor., Not advise them to visit, Be careful in the nighttime and avoid the dark alleyways - taxi is inexpensive if you can avoid tourist fares. , we had 4 comfortable rooms, all were clean and quiet., Any. We had a balcony in 1 room and we were not bothered by noise.","metaxourghio metro station, rooms are small, hotel is located, nice stay, yogurt, busy street, square, balcony, honey, district, sites, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Karolou 20, Karaiskaki Square Psaron 6, Karaiskaki Square, Athens 10437 Greece","Everyone needs a place to lay their weary head. For travelers visiting Athens, Katerina Hotel is an excellent choice for rest and rejuvenation. Well-known for its family-friendly environment and proximity to great restaurants and attractions, Katerina Hotel makes it easy to enjoy the best of Athens.
You’ll enjoy relaxing rooms that offer a flat screen TV, air conditioning, and a minibar, and you can stay connected during your stay as Katerina Hotel offers guests free wifi.
The hotel features a 24 hour front desk, a concierge, and baggage storage. Plus, Katerina Hotel offers free breakfast, providing a pleasant respite from your busy day. For guests with a vehicle, street parking is available.
While staying at Katerina Hotel, visitors can check out Monastiraki (0.7 mi) and Temple of Hephaestus (0.7 mi), some of Athens' top attractions.
Athens has plenty of cafes. So when you’re here, be sure to check out popular spots like 360 Degrees, Noel, and Six D.o.g.s, which are serving up some great dishes.
Best of all, Katerina Hotel makes it easy to experience some great Athens attractions like Frissiras Museum, which is a popular .
Whether you’re traveling for business, pleasure or both, Katerina Hotel is sure to make your visit to Athens one worth remembering.
",katerinahotel@yahoo.gr,Hotel Katerina,641,$,$67 - $93,#76 of 396 hotels in Athens,396.0,4.0,4.099642276763916,https://media-cdn.tripadvisor.com/media/photo-o/06/97/05/3c/katerina-hotel.jpg
388,https://www.tripadvisor.com/Hotel_Review-g189400-d235706-Reviews-Orion_Dryades_Hotel-Athens_Attica.html,http://www.orion-dryades.com,"Internet, Free Internet, Wifi, Free Wifi, Non-smoking rooms, Air conditioning, Multilingual Staff, Refrigerator in room, Flatscreen TV, Rooftop Terrace, Private Balcony, Baggage Storage, Bath / Shower, Coffee / Tea Maker, Complimentary Toiletries, Taxi Service, Public Wifi, Concierge, Family Rooms, Self-Serve Laundry, Non-smoking hotel, Safe, Breakfast Buffet, Breakfast Available, Car Hire, Express Check-in / Check-out, English, 24-Hour Front Desk, Greek, Ironing Service, Outdoor Furniture, Shared Kitchen, Soundproof Rooms, Street Parking, Sun Terrace, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Take your time with the steep hill incline or staircase up the hotel, it's not too bad but in very hot weather be sure to be careful. , Area is not that nice., Be careful of supermarket closing, it's on a steep hill, so older people or people not in a fit condition may struggle, Breakfast incredible.  Take their taxi from airport great service., The Orion has the office and breakfast terrace, but the Dryades is a little quieter and has its own self-catered kitchen area.","budget hotel, cafes and restaurants, central location, fridge, balcony, view, supermarket, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Emmanouel Benaki 105 & Anexartisias 5 Lofos Strefi Park, Exarchia, Athens 11473 Greece","Situated on Strefi Hill in the center of Athens, this particular location offers a tranquil and verdant setting that boasts natural light and endless views of the city. All this in an authentic Athenian neighborhood that is very convenient since it is close to public transport, historical monuments, shopping and entertainment hubs.With a 24 hour reception and WiFi Internet available in all areas, breakfast room with amazing view and fully-equipped shared kitchens.The ideal choice for all those in search of a familial atmosphere, cleanliness and quality at exceptionally low prices.",reservations@orion-dryades.com,Orion & Dryades Hotel,334,$,$45 - $56,#99 of 396 hotels in Athens,396.0,4.0,3.92442798614502,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/24/fa/08/acropolis-double-room.jpg
389,https://www.tripadvisor.com/Hotel_Review-g189400-d230391-Reviews-Divani_Palace_Acropolis-Athens_Attica.html,http://divaniacropolishotel.com/,"Pool, Restaurant, Internet, Free Internet, Suites, Room service, Wheelchair access, Bar/Lounge, Pets Allowed, Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Accessible rooms, Refrigerator in room, Minibar, Conference Facilities, Non-smoking hotel, Safe, Rooftop Bar, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Poolside Bar, Private Balcony, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, ATM On Site, Baggage Storage, Bath / Shower, Breakfast in the Room, Car Hire, 24-Hour Check-in, Currency Exchange, Doorperson, English, French, 24-Hour Front Desk, Greek, Ironing Service, 24-Hour Security, Shops, Snack Bar, Sun Loungers / Beach Chairs, Sun Terrace, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Express Check-in / Check-out, Clothes Rack, Private Bathrooms, Paid Private Parking Nearby, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Get your Acropolis ticket online!  Museum was also great., Book early or the day before - they fill up, Perhaps a quieter room not at front, Eating breakfast can take 1-1/2 hour and doesn't open until 7 am so don't include breakfast in your reservation., Don’t stay at the Divani Palace Acropolis","rooftop restaurant, great location, beautiful hotel, walking distance, breakfast buffet, main sights, hop on hop off bus, small balcony, mini bar, our honeymoon, visiting athens, plaka area, acropolis, view, museum, greece, executive, bellman, sauna, marble, sites, hairdryer, greek, proximity, cruise, neighborhood, cafes, temple, nan, nan","Parthenonos 19 - 25, Athens 117 42 Greece","There is no other hotel in Athens to entwine more beautifully the history of ancient Greece with 5 star facilities. Divani Palace Acropolis sits just below the Acropolis, moments away from Plaka, the new archaeological museum and the Herodian theatre. Taste luxury and sophistication in our 180 rooms, 60 new deluxe rooms and 10 suites. Enjoy the hotel restaurants and bars, or explore the surrounding area for an authentic encounter with Athens.",info@divanicaravel.gr,Divani Palace Acropolis,880,$$,$142 - $186,#94 of 396 hotels in Athens,396.0,4.0,3.954914331436157,https://media-cdn.tripadvisor.com/media/photo-o/0f/96/47/fa/divani-palace-acropolis.jpg
390,https://www.tripadvisor.com/Hotel_Review-g189400-d21134626-Reviews-Green_Suites_Boutique_Hotel-Athens_Attica.html,https://www.greensuiteshotel.gr/el/,"Pool, Room service, Restaurant, Bar/Lounge, Free Wifi, Safe, Bath / Shower, 24-Hour Front Desk, Secured Parking, Non-smoking rooms, Air conditioning, Refrigerator in room, Rooftop Pool, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Since you have to travel there via subway, try to avoid the busiest times (because then its packed!), Parking is available in private garage, very small, reservations required in advance for one of the 7/8 spaces located in underground., Deluxe room is nice and I think enough for couple, Use the Ano Patissia train station, trains come every 10 minutes and can take you to all main attractions. Next to that, the rooftop is ideal to relax on a hot Greek day. , You can leave your luggage at the hotel before checking-in and enjoy the city until the room is ready. Same goes when checking-out.","rooftop area, little things, visiting athens, metro station, nice hotel, nice room, comfortable bed, two nights, sunbeds, noise, marble, view, balcony, greece, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Mak Milan 8 Ano Patissia, Athens 11144 Greece","Welcoming the environmentally-savvy traveller to a futuristic setting, Green Suites Hotel has been created to embrace guests in the most innovative hospitality concept in Athens city. Green Suites constitute a cutting-edge 5 star hotel in Athens, and are the epitome of eco-luxury. Providing a modern-chic, technologically advanced and eco-conscious environment in Athens, here, guests can rest assured of receiving the highest standard of hospitality, while they don’t have to worry about leaving a carbon footprint.",info@greensuiteshotel.gr,Green Suites Boutique Hotel,55,$$,$99 - $133,#143 of 396 hotels in Athens,396.0,4.5,3.5332815647125244,https://media-cdn.tripadvisor.com/media/photo-o/21/7b/82/4f/green-suites-boutique.jpg
391,https://www.tripadvisor.com/Hotel_Review-g189400-d260275-Reviews-Amazon_Hotel-Athens_Attica.html,http://www.amazonhotel.gr/,"Internet, Free Internet, Wifi, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Concierge, Air conditioning, Multilingual Staff, Refrigerator in room, Minibar, Non-smoking hotel, Safe, Flatscreen TV, Breakfast Buffet, Facilities for Disabled Guests, Housekeeping, Baggage Storage, Bath / Shower, Blackout Curtains, 24-Hour Check-in, Complimentary Tea, English, 24-Hour Front Desk, Greek, Hair Dryer, Ironing Service, Taxi Service, Telephone, Bathrobes, Breakfast in the Room, Car Hire, Express Check-in / Check-out, Desk, French, Italian, Landmark View, Private Check-in / Check-out, Walk-in Shower, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","We stayed three times, and we found the sixth floor the most comfortable.

If you're a couple. It's best to ask for two room keys. , Corner rooms face two streets and were noisier than rooms from previous stays., Make sure to ask for a room with a view., Nothing to be honest. Top hotel right at the heart of Athens, Any room was ideal, i would stay 3rd floor and up to ensure a good view rather than street views","syntagma square, great location, within walking distance, clean hotel, rooms are small, street noise, greek yogurt, acropolis view, short stay, acropolis museum, sites, suitcases, cafes, honey, europe, parliament, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","19 Mitropoleos & Pentelis Str Syntagma, Athens 105 57 Greece","Hotel Amazon boasts a prime location in the heart of Athens, within walking distance of the major archaeological sites and Syntagma Metro Station. It offers 42 tastefully decorated rooms with free Wi-Fi access. Amazon Hotel's air-conditioned rooms and suites are decorated in natural tones creating a relaxing atmosphere. They are equipped with a TV with satellite and cable channels, safety box and minibar. Some rooms enjoy spectacular Acropolis views. Amazon Hotel serves buffet breakfast, while there is also a bar and a cafeteria, where guests can enjoy their drink or a snack. The New Acropolis Museum is within 1 km of Hotel Amazon. The shopping district of the Athens centre is just a few steps away.",info@amazonhotel.gr,Amazon Hotel,1286,$$,$68 - $140,#82 of 396 hotels in Athens,396.0,4.0,4.078185081481934,https://media-cdn.tripadvisor.com/media/photo-s/01/28/b5/f0/acropolis.jpg
392,https://www.tripadvisor.com/Hotel_Review-g189400-d260810-Reviews-Adrian_Hotel-Athens_Attica.html,http://www.douros-hotels.com/view_hotels.asp?hotel_id=2,"Internet, Free Internet, Free Wifi, Wheelchair access, Pets Allowed, Wifi, Breakfast included, Non-smoking rooms, Concierge, Air conditioning, Multilingual Staff, Non-smoking hotel, Safe, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Private Balcony, Breakfast Available, Parking, Facilities for Disabled Guests, Baggage Storage, 24-Hour Check-in, English, 24-Hour Front Desk, Greek, Paid Private Parking Nearby, Sun Terrace, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","The restaurants in the square out front were quite good., Ask for an Acropolis view room, Pay a bit more and find a better hotel, location isn't everything! 
Avoid 307, don't pay for the view of the acropolis, Pay a little extra for a room at the front, overlooking the restaurants., No safe. Perhaps the desk has one. 
Good rate.","great location, hadrian's library, acropolis view, roman forum, within walking distance, monastiraki metro station, plaka neighborhood, yogurt, lycabettus hill, flea market, short stay, restaurants and shops, hotel is located, roof, balcony, sites, greece, square, luggage, euros, cruise, nan, nan, nan, nan, nan, nan, nan, nan, nan","74 Adrianou, Athens 105 56 Greece","Looking for a place to stay in Athens? Then look no further than Adrian Hotel, a charming hotel that brings the best of Athens to your doorstep.
Guest rooms offer amenities such as a flat screen TV and air conditioning, and guests can go online with free wifi offered by the hotel.
Adrian Hotel features a 24 hour front desk, a rooftop terrace, and a concierge, to help make your stay more enjoyable. The property also boasts free breakfast. If you are driving to Adrian Hotel, there is paid private parking available nearby.
Given the close proximity of popular landmarks, such as Monastiraki (0.2 mi) and Temple of Hephaestus (0.2 mi), guests of Adrian Hotel Athens can easily experience some of Athens' most well known attractions.
While you’re here, be sure to check out some of the Mediterranean restaurants, including Nolan, Funky Gourmet, and Feedel Urban Gastronomy, all of which are a short distance from Adrian Hotel.
Looking to explore? Then look no further than Acropolis (0.2 mi), Acropolis Museum (0.4 mi), and Plaka (0.1 mi), which are some popular Athens attractions – all conveniently located within walking distance of the hotel.
We’re sure you’ll enjoy your stay at Adrian Hotel as you experience everything Athens has to offer.
",douros@hotelnet.gr,Adrian Hotel,498,$$,$80 - $139,#90 of 396 hotels in Athens,396.0,4.0,3.990163564682007,https://media-cdn.tripadvisor.com/media/photo-o/0c/4e/91/b3/adrian-hotel.jpg
393,https://www.tripadvisor.com/Hotel_Review-g189400-d25222814-Reviews-The_Social_Athens_Hotel_a_member_of_Radisson_Individuals-Athens_Attica.html,https://www.radissonhotels.com/en-us/hotels/radisson-individuals-social-athens?cid=a:se+b:yex+c:emea+i:local+e:ri+d:cese+f:en-us+h:GRATHAND,"Internet, Free Internet, Wheelchair access, Wifi, Public Wifi, Free Wifi, Fitness center, Laundry Service, Air conditioning, Minibar, Rooftop Terrace, Kids Activities, Shuttle Bus Service, Suites, Room service, Restaurant, Bar/Lounge, Airport transportation, Non-smoking rooms, Accessible rooms, Babysitting, Non-smoking hotel, Safe, Flatscreen TV, Private Balcony, Breakfast Available, Facilities for Disabled Guests, Housekeeping, Kids Stay Free, Allergy-free Room, Baggage Storage, Bathrobes, Blackout Curtains, Bottled Water, Cable / Satellite TV, 24-Hour Check-in, Children's Television Networks, Clothes Rack, Coffee Shop, Coffee / Tea Maker, Desk, Doorperson, English, First Aid Kit, Free Public Parking Nearby, Complimentary Toiletries, 24-Hour Front Desk, Greek, Hair Dryer, Iron, Ironing Service, Italian, Landmark View, Laptop Safe, Mountain View, Outdoor Dining Area, Outdoor Furniture, Private Bathrooms, Paid Private Parking Nearby, Paid Public Parking Nearby, Seating Area, Separate Living Room, Sofa, Sofa Bed, Soundproof Rooms, Street Parking, Taxi Service, Telephone, Tile / Marble Floor, Wake Up Service / Alarm Clock, Walk-in Shower, Wardrobe / Closet, Yoga Room, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Noisy, but maybe not all the rooms, Ask for double beds before arriving if needed as they are limited, Hairdryer is great! , No parking at the hotel but if your lucky you get street parking or nearby paid parking., Book in advance…the hotel is always full.","boutique hotel, syntagma square, great location, dimitri, bed, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Voukourestiou 30,, Athens 10671 Greece",,info.thesocial@radissonindividuals.com,"The Social Athens Hotel, a member of Radisson Individuals",43,$$$,$177 - $242,#133 of 396 hotels in Athens,396.0,4.5,3.6586990356445312,https://media-cdn.tripadvisor.com/media/photo-w/2a/bf/39/ca/front-desk.jpg
394,https://www.tripadvisor.com/Hotel_Review-g189400-d286943-Reviews-The_Athenian_Callirhoe_Exclusive_Hotel-Athens_Attica.html,http://www.tac.gr/,"Room service, Restaurant, Internet, Free Internet, Wifi, Free Wifi, Suites, Wheelchair access, Bar/Lounge, Breakfast included, Dry Cleaning, Meeting rooms, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Multilingual Staff, Minibar, Conference Facilities, Non-smoking hotel, Safe, Rooftop Bar, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Baggage Storage, Bath / Shower, 24-Hour Check-in, English, 24-Hour Front Desk, Greek, Hair Dryer, Taxi Service, Wake Up Service / Alarm Clock, Sauna, Breakfast in the Room, Car Hire, Express Check-in / Check-out, Coffee Shop, Coffee / Tea Maker, Desk, French, Ironing Service, Laptop Safe, Massage, Soundproof Rooms, Spanish, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","The streets can be a bit noisy at night but the double doors keep most of it out. , Breakfast excellent. Higher rooms are quiet. Balcony is appreciated. Wellness centre available., Ask for high level room with balcony for amazing sunrise views., A excepción de mi problema con e servicio de taxi , todo lo demás bien , Some if the rooms have a balcony - this would be great in summer.","rooftop restaurant, nice hotel, squeezed orange juice, top floor, within walking distance, great view of the acropolis, minute walk, major attractions, metro station, greece, cruise, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","32 Kallirrois, Athens 117 43 Greece",The Athenian Callirhoe Exclusive Hotel is a unique Luxury Boutique Hotel in the heart of Athens City where style and comfort are happily coupled to offer a pleasant stay with the finest accommodation and delightful culinary experiences.,hotel@tac.gr,The Athenian Callirhoe Exclusive Hotel,1008,$,$70 - $105,#87 of 396 hotels in Athens,396.0,4.0,3.9977757930755615,https://media-cdn.tripadvisor.com/media/photo-o/0d/19/cc/e0/the-athenian-callirhoe.jpg
396,https://www.tripadvisor.com/Hotel_Review-g189400-d228918-Reviews-Airotel_Alexandros-Athens_Attica.html,https://www.airotel.gr/en/Alexandros-Hotel-791.htm,"Restaurant, Room service, Free parking, Internet, Free Internet, Wifi, Free Wifi, Pool, Suites, Wheelchair access, Bar/Lounge, Public Wifi, Breakfast included, Dry Cleaning, Meeting rooms, Non-smoking rooms, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Conference Facilities, Non-smoking hotel, Safe, Flatscreen TV, Breakfast Buffet, Housekeeping, Baggage Storage, Breakfast in the Room, 24-Hour Check-in, Coffee / Tea Maker, Desk, English, Complimentary Toiletries, 24-Hour Front Desk, Greek, Shared Lounge / TV Area, Taxi Service, Telephone, Fitness center, Minibar, Private Balcony, Parking, Car Hire, Chapel / Shrine, Express Check-in / Check-out, Game Room, Hair Dryer, Ironing Service, Paid Private Parking Nearby, Snack Bar, Soundproof Rooms, Special Diet Menus, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Based on our experience, we do not recommend this place., The rooftop pool is awesome but remember to make a reservation, the cost of your reservation counts towards any drinks or food you orders , Don't go to the hotel for the pool , Book your pool space years in advance in the summer and be ready to pay for this as an extra facility in your hotel. , Prebook the sun loungers as long as you dont mind paying the extra 25 euro's.
Dont expect it to be less than 24 degrees in your room
 ","nice hotel, convenient location, excellent breakfast, rooftop pool, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Timoleontos Vassou 8, Athens 115 21 Greece","The place where you will hear your name rather than your room number. In a matter of seconds, find total quiet and calm having left the noise of the city behind you. You are now in Hotel ALEXANDROS. So close to your obligations yet so far from the busy and noisy scenery of the center of Athens. Enjoy an unforgettable island-like experience on our rooftop ""Mavili Beach'' during Summer time. A Cycladic Heaven in a bustling city.",reservations@airotel.gr,Airotel Alexandros,922,$$,$90 - $118,#73 of 396 hotels in Athens,396.0,4.0,4.113516807556152,https://media-cdn.tripadvisor.com/media/oyster/2600/07/2e/ad/fd/triple-room--v4974193.jpg
399,https://www.tripadvisor.com/Hotel_Review-g189400-d455633-Reviews-Fresh_Hotel-Athens_Attica.html,http://www.freshhotel.gr,"Pool, Free Internet, Free Wifi, Suites, Meeting rooms, Non-smoking rooms, Dry Cleaning, Laundry Service, Concierge, Banquet Room, Non-smoking hotel, Internet, Room service, Wheelchair access, Restaurant, Bar/Lounge, Spa, Wifi, Business center, Fitness center, Air conditioning, Multilingual Staff, Minibar, Conference Facilities, Safe, Rooftop Bar, Rooftop Pool, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Poolside Bar, Private Balcony, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Baggage Storage, 24-Hour Check-in, Complimentary Tea, Doorperson, English, Complimentary Instant Cofffee, French, 24-Hour Front Desk, Greek, Ironing Service, Kid-Friendly Buffet, Laptop Safe, Pool / Beach Towels, Pool with View, 24-Hour Security, Special Diet Menus, Sun Loungers / Beach Chairs, Sun Terrace, Taxi Service, Wake Up Service / Alarm Clock, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","The rooms in the new part are more expensive but worth it., Everything was good , Do not stay here if you planning on walking to explore Athens, Has a roof top bar/restaurant with small pool. Usually very busy especially when hot ., Avoid this hotel. Check if the AC is working as soon as you get there","rooftop bar, small pool, modern hotel, never felt unsafe, walking distance, breakfast buffet, central location, top floor, monastiraki square, great view of the acropolis, metro station, neighborhood, street, greece, graffiti, greek, psiri, sites, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","26 Sofokleous St, Athens 105 52 Greece","Downtown in the heart of Athens, Fresh Hotel is a stylish, urban resort, with unconventional atmosphere, cool and thoughtful service. With simple lines and vivid colors in a minimalist, sleekly designed sanctuary, the Hotel surrounds guests in absolute calm. The joy of life takes on a new meaning in Fresh Hotel. The Fresh Hotel is located right in the heart of Athens, next to the beautiful Town hall, and only a few minutes walk from Syntagma Square and the old market place.",info@freshhotel.gr,Fresh Hotel,2738,$$,$111 - $139,#55 of 396 hotels in Athens,396.0,4.0,4.202354907989502,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/0d/7b/e3/exterior-view.jpg
